day,read,duration,streak,time_of_day,reflection,prev_day_read,label
159,1,20,1,0,1,0,0
160,1,5,2,0,1,1,1
161,1,6,3,1,1,1,0
162,0,0,0,1,0,1,1
163,1,11,1,1,1,0,0
164,0,0,0,0,0,1,0
165,1,17,1,0,1,0,0
166,0,0,0,1,0,1,1
167,0,0,0,0,0,0,1
168,1,14,1,0,1,0,0
169,0,0,0,0,0,1,1
170,0,0,0,0,0,0,1
171,1,17,1,1,1,0,1
172,0,0,0,1,0,1,0
173,1,12,1,1,1,0,0
174,1,10,2,0,1,1,0
175,0,0,0,0,0,1,0
176,1,10,1,1,0,0,0
177,0,0,0,0,0,1,0
178,1,12,1,1,1,0,1
179,1,7,2,1,0,1,0
180,0,0,0,0,0,1,1
181,0,0,0,1,0,0,1
182,1,7,1,1,1,0,0
183,1,10,2,0,1,1,0
184,0,0,0,0,0,1,1
185,0,0,0,0,0,0,1
186,1,17,1,0,0,0,1
187,1,15,2,1,1,1,1
188,0,0,0,1,0,1,0
189,1,6,1,1,0,0,0
190,1,13,2,0,1,1,1
191,0,0,0,1,0,1,1
192,0,0,0,1,0,0,1
193,0,0,0,0,0,0,1
194,0,0,0,1,0,0,1
195,1,20,1,0,0,0,0
196,1,10,2,1,0,1,0
197,1,6,3,1,1,1,0
198,0,0,0,1,0,1,0
199,1,16,1,0,1,0,1
200,0,0,0,1,0,1,0
201,1,10,1,1,1,0,0
202,1,17,2,1,1,1,0
203,1,15,3,0,0,1,0
204,1,5,4,1,1,1,0
205,1,10,5,1,1,1,0
206,0,0,0,1,0,1,0
207,1,7,1,1,1,0,0
208,1,18,2,0,0,1,0
209,1,13,3,1,1,1,0
210,1,7,4,1,0,1,0
211,1,17,5,1,0,1,0
212,0,0,0,1,0,1,1
213,1,20,1,1,0,0,0
214,1,15,2,1,1,1,1
215,1,10,3,1,0,1,0
216,0,0,0,1,0,1,1
217,1,8,1,0,1,0,0
218,1,19,2,0,1,1,0
219,1,10,3,1,0,1,0
220,1,13,4,0,1,1,0
221,1,12,5,1,1,1,0
222,1,20,6,1,0,1,0
223,1,10,7,0,1,1,0
224,1,10,8,1,1,1,0
225,1,11,9,0,0,1,0
226,1,7,10,0,1,1,0
227,1,19,11,0,1,1,0
228,0,0,0,0,0,1,0
229,0,0,0,0,0,0,1
230,1,5,1,0,1,0,0
231,0,0,0,0,0,1,1
232,1,16,1,1,1,0,0
233,1,18,2,1,1,1,0
234,0,0,0,1,0,1,0
235,0,0,0,1,0,0,1
236,0,0,0,1,0,0,1
237,1,18,1,0,0,0,0
238,1,12,2,0,0,1,0
239,1,5,3,0,1,1,0
240,1,9,4,0,1,1,0
241,1,11,5,0,0,1,0
242,1,19,6,0,1,1,0
243,0,0,0,1,0,1,0
244,0,0,0,0,0,0,1
245,1,10,1,0,1,0,0
246,0,0,0,0,0,1,1
247,0,0,0,0,0,0,1
248,1,18,1,1,0,0,0
249,1,13,2,0,1,1,0
250,1,15,3,1,1,1,0
251,1,12,4,0,1,1,0
252,1,20,5,1,1,1,0
253,0,0,0,1,0,1,1
254,1,9,1,1,0,0,0
255,1,18,2,0,1,1,1
256,1,11,3,0,1,1,0
257,0,0,0,1,0,1,0
258,1,8,1,0,1,0,1
259,1,14,2,0,0,1,0
260,1,7,3,0,1,1,0
261,1,17,4,1,0,1,0
262,0,0,0,1,0,1,1
263,0,0,0,1,0,0,1
264,0,0,0,0,0,0,1
265,0,0,0,1,0,0,1
266,1,7,1,1,0,0,0
267,1,8,2,1,1,1,0
268,0,0,0,1,0,1,0
269,0,0,0,0,0,0,1
270,0,0,0,1,0,0,1
271,1,16,1,0,1,0,0
272,0,0,0,0,0,1,0
273,1,13,1,1,1,0,0
274,1,16,2,0,1,1,0
275,0,0,0,0,0,1,0
276,0,0,0,0,0,0,1
277,1,20,1,0,1,0,1
278,1,10,2,1,0,1,0
279,1,10,3,0,1,1,0
280,1,11,4,1,0,1,0
281,1,19,5,0,0,1,0
282,0,0,0,0,0,1,1
283,1,10,1,1,0,0,0
284,1,7,2,1,1,1,0
285,1,6,3,1,1,1,0
286,1,13,4,1,1,1,0
287,1,15,5,1,1,1,0
288,1,13,6,1,1,1,0
289,1,5,7,0,0,1,0
290,1,12,8,1,1,1,0
291,1,14,9,1,1,1,0
292,1,17,10,1,1,1,0
293,0,0,0,1,0,1,0
294,1,9,1,0,0,0,0
295,1,10,2,0,0,1,0
296,1,18,3,0,0,1,0
297,0,0,0,0,0,1,1
298,1,8,1,0,1,0,1
299,0,0,0,0,0,1,1
300,0,0,0,0,0,0,1
