reading_minutes,translation_used,reflections_written,recitation_pages,memorization_pages,reading_streak,recitation_streak,memorization_streak,inactivity_gap_hours,weekly_activity_trend,disengagement_risk
3,1,1,17,4.7,32,48,93,12,0.69,0
28,1,0,20,3.8,23,35,99,153,-0.6,0
38,1,2,0,4.8,88,31,100,180,0.03,0
0,1,2,16,4.3,86,42,51,92,0.28,0
42,1,2,3,4.1,99,39,53,183,0.87,0
48,1,2,4,0.6,12,60,27,49,-0.53,0
40,0,1,12,0.7,82,48,15,14,0.4,0
58,1,1,18,3.8,44,27,44,9,-0.05,0
50,1,3,9,3.0,87,21,59,115,0.03,0
58,1,1,7,3.3,55,35,31,56,-0.39,0
34,1,1,5,0.8,52,83,1,20,0.8,0
13,0,2,3,2.3,46,26,43,199,-0.08,1
15,0,3,8,1.4,55,85,58,5,-0.03,0
57,1,3,5,2.3,15,60,63,71,0.08,0
35,0,3,11,0.9,9,9,24,187,-0.75,1
27,0,2,9,2.8,97,73,51,5,0.27,0
16,1,3,5,1.2,17,29,52,62,0.62,0
18,1,2,18,1.4,29,41,53,90,-0.81,0
16,0,2,6,1.8,10,59,99,200,0.59,1
36,1,3,19,4.5,97,94,93,93,-0.65,0
6,1,0,3,2.5,100,14,95,144,-0.11,1
60,1,0,14,2.3,0,98,45,191,0.7,0
51,0,2,12,4.0,21,95,92,192,-0.7,0
42,0,1,15,0.8,17,50,0,29,0.23,0
5,0,2,14,3.3,14,26,92,6,-0.9,0
4,1,0,13,1.7,86,54,23,38,0.74,0
33,1,3,14,0.1,27,69,84,57,0.88,0
26,0,0,15,1.8,82,78,71,118,0.98,0
29,1,3,13,2.7,39,23,3,112,-0.26,0
46,0,0,4,1.3,81,9,35,66,0.56,0
40,0,2,11,1.1,90,50,79,164,-0.6,0
23,1,0,13,3.4,22,45,42,46,-0.33,0
45,1,2,13,2.8,36,47,21,114,0.25,0
13,0,1,12,0.1,100,76,40,54,-0.6,0
10,0,3,10,2.7,4,59,84,121,0.73,0
36,0,0,1,3.1,5,2,61,53,0.9,1
11,0,3,3,3.0,36,25,54,38,-0.69,0
1,1,1,2,4.3,3,31,67,101,-0.3,1
56,0,0,8,4.5,58,66,51,170,0.7,0
37,1,0,5,2.8,8,84,47,70,-0.68,0
2,0,2,6,1.4,96,44,13,26,-0.5,0
3,1,2,20,3.8,12,20,83,145,0.51,0
29,1,0,18,4.0,24,65,54,136,-0.83,0
16,1,2,8,1.5,24,72,39,69,0.7,0
6,1,2,7,2.8,44,59,91,47,-0.3,0
56,0,1,1,1.7,81,50,69,196,-0.95,1
54,0,1,0,0.3,99,94,32,106,0.13,0
5,0,2,2,3.9,58,79,99,37,0.12,0
15,1,2,12,1.6,30,81,38,23,0.53,0
21,1,0,12,3.9,20,59,25,91,0.4,0
32,1,2,15,2.2,44,96,22,140,-0.12,0
47,1,2,11,1.5,49,19,74,196,0.16,0
35,1,0,16,1.4,74,25,20,83,-0.28,0
31,0,2,3,3.4,23,29,100,106,-0.52,0
8,1,0,12,1.8,86,33,50,177,-0.75,1
15,0,3,16,1.0,39,33,42,147,-0.45,0
25,0,3,17,0.2,30,77,66,110,0.19,0
11,1,1,13,2.6,95,91,98,193,-0.59,0
33,1,3,1,0.7,10,78,97,10,0.54,0
46,0,1,9,1.8,42,66,50,155,0.87,0
43,1,3,18,0.3,73,40,83,15,0.1,0
39,1,3,8,4.0,64,24,73,109,-0.72,0
25,0,0,8,1.0,93,89,27,164,-0.95,1
39,0,0,9,4.2,78,15,48,198,0.67,0
37,0,0,5,1.7,64,57,27,159,0.35,1
32,0,0,10,0.3,67,37,33,190,0.31,1
33,0,1,3,4.9,2,42,57,176,0.06,1
28,1,3,11,2.1,78,5,49,85,0.73,0
49,0,2,14,0.2,23,59,6,59,-0.17,0
44,1,3,19,4.7,87,90,31,101,-0.31,0
26,1,1,10,0.4,53,1,35,110,0.46,0
15,0,3,14,0.4,66,28,82,48,0.86,0
30,0,0,13,4.7,15,48,42,194,-0.86,1
41,0,1,12,0.2,67,79,21,136,0.54,0
8,1,0,19,3.3,27,43,50,0,-0.12,0
37,1,3,12,4.7,48,80,22,65,0.7,0
1,0,1,13,0.4,1,7,18,39,-0.98,1
1,0,3,10,0.5,47,41,83,145,-0.8,1
51,1,2,19,2.5,58,48,82,44,-0.12,0
50,0,0,9,2.2,49,18,42,40,0.22,0
53,1,0,20,1.7,82,6,25,101,-0.46,0
5,0,0,12,0.1,41,25,33,183,-0.73,1
46,1,0,15,0.7,2,56,40,144,0.23,0
58,0,0,3,0.6,61,24,12,106,-0.2,1
31,1,0,13,2.9,22,68,55,188,0.66,0
41,0,2,16,3.9,24,73,90,114,-0.01,0
2,0,2,8,1.8,83,10,4,90,0.76,0
44,1,1,15,3.0,82,71,76,14,0.17,0
27,1,1,10,3.4,27,4,27,140,0.7,0
38,1,1,4,0.0,23,38,36,40,0.6,0
32,0,2,9,0.3,40,7,8,47,-0.83,1
22,0,1,11,3.9,79,26,23,106,0.07,0
31,1,1,17,3.6,29,25,7,157,-0.68,0
23,0,3,12,2.3,37,25,80,184,-0.78,0
55,0,1,19,4.5,81,52,6,139,-0.89,0
21,1,3,1,3.8,80,94,90,196,0.02,0
25,0,2,8,1.8,12,69,92,89,0.05,0
7,0,1,3,1.7,88,87,35,191,-0.55,1
30,1,1,11,4.7,71,29,34,29,0.13,0
27,0,0,7,2.8,19,27,47,96,-0.56,1
48,0,0,20,2.2,11,25,74,52,-0.8,0
51,0,1,8,3.8,93,71,55,165,-0.87,0
6,0,3,10,2.1,61,63,14,69,0.93,0
53,0,3,4,3.6,77,50,28,169,0.82,0
57,0,0,17,5.0,15,42,74,95,-0.51,0
42,0,3,0,4.0,8,54,68,86,-0.52,0
53,0,1,13,2.7,11,39,8,27,-0.71,0
32,0,2,15,1.2,4,13,63,43,0.55,0
1,1,2,0,0.0,85,99,95,130,0.63,0
3,0,0,18,1.5,70,33,42,78,-0.14,0
12,1,3,18,4.7,1,58,55,64,-0.71,0
32,1,2,7,4.8,48,28,75,83,-0.46,0
24,1,3,1,1.9,16,44,12,160,0.42,1
28,0,3,13,3.1,40,93,25,98,-0.2,0
42,1,0,2,1.4,33,33,35,67,-0.22,1
5,0,1,19,4.7,75,12,30,46,0.32,0
52,0,3,8,1.5,55,54,68,48,0.94,0
17,1,0,4,3.5,81,19,24,45,-0.55,1
13,1,1,14,0.1,75,85,99,29,-0.27,0
23,0,3,2,4.8,38,21,32,3,0.79,0
50,0,0,17,4.2,73,63,62,164,-0.98,0
28,1,2,13,0.9,100,97,15,167,-0.61,0
38,1,2,17,1.2,28,48,23,115,-0.52,0
32,1,0,10,0.8,53,45,43,126,-0.49,1
0,0,3,2,4.7,70,62,39,102,-0.44,0
34,1,2,9,2.1,61,22,3,174,0.13,1
28,1,2,14,0.8,29,14,77,56,0.96,0
28,1,0,4,0.6,15,4,35,155,-0.57,1
51,1,2,11,0.8,42,48,64,169,-0.62,0
46,0,2,2,2.8,60,59,9,143,-0.08,1
28,1,2,10,3.3,5,45,76,99,0.56,0
49,0,1,18,4.8,20,47,99,164,0.2,0
19,1,3,9,1.0,57,43,61,161,-0.29,0
21,0,1,2,1.1,60,23,8,8,0.31,1
45,0,2,17,2.3,64,59,43,92,-0.23,0
6,1,1,1,2.6,49,26,13,91,-0.83,1
9,1,3,2,0.3,80,69,30,138,-0.58,1
10,1,1,0,2.1,99,4,98,66,-0.42,0
11,0,2,15,2.9,64,65,23,22,0.73,0
41,1,1,18,1.6,33,68,68,134,-0.9,0
58,0,2,4,0.4,75,19,90,165,0.31,0
34,1,2,2,4.5,70,89,45,60,0.7,0
47,0,0,5,2.4,25,97,69,197,-0.34,1
35,0,2,15,0.2,98,29,76,46,-0.84,0
27,1,2,4,1.2,15,87,26,156,-0.8,1
9,0,2,11,2.7,64,97,11,37,-0.84,0
26,0,0,18,3.2,85,68,55,89,-0.63,0
26,1,2,1,2.9,35,0,89,188,0.39,1
44,1,1,10,4.7,82,23,20,88,0.14,0
10,0,2,11,1.3,93,65,52,193,0.58,0
31,0,2,20,3.9,19,72,93,104,-0.75,0
46,1,2,17,2.6,27,14,59,168,0.27,0
26,1,1,19,2.5,51,77,30,24,0.24,0
26,0,1,12,4.4,37,36,15,156,-0.56,1
17,1,3,0,1.7,86,49,79,12,0.49,0
2,1,0,8,3.8,76,38,50,112,0.48,0
39,0,0,9,4.5,43,68,24,21,0.71,0
43,1,0,12,3.2,34,5,90,121,-0.86,0
23,0,0,19,0.4,66,3,16,163,-0.47,1
59,1,0,1,2.2,93,35,6,82,-0.99,1
52,0,3,1,4.7,24,45,73,186,0.89,0
3,0,3,8,1.9,61,28,60,155,0.28,0
40,1,1,2,2.8,96,72,45,147,0.93,0
7,0,1,19,4.0,25,63,28,189,-0.66,0
52,0,2,16,1.6,16,71,42,186,0.38,0
28,0,0,15,2.7,34,4,45,11,-0.42,0
11,1,3,18,0.7,39,68,19,64,-0.85,0
41,1,0,13,1.1,71,66,78,106,0.95,0
17,0,2,9,2.7,98,29,71,88,0.98,0
54,1,0,13,2.8,34,71,53,147,0.86,0
20,0,3,17,3.8,24,8,61,36,0.08,0
2,1,0,3,3.7,71,5,3,199,-0.53,1
14,0,3,6,1.9,38,92,23,92,-0.18,0
16,0,3,10,4.0,15,53,17,31,-0.41,0
18,0,3,7,1.4,2,99,14,196,0.99,1
38,0,3,10,4.4,76,93,63,106,0.73,0
55,0,0,7,4.2,91,56,100,80,-0.19,0
12,1,3,9,0.9,26,73,58,168,0.77,0
46,1,1,20,0.5,43,32,65,101,-0.13,0
42,1,3,6,2.7,44,8,25,142,0.1,0
58,0,0,9,2.2,74,77,95,100,0.37,0
34,1,2,0,3.8,9,83,51,20,0.85,0
43,1,2,11,2.1,7,33,78,172,-0.19,0
30,1,1,19,0.9,8,8,0,190,0.46,1
22,1,3,8,3.6,43,5,78,167,-0.57,0
54,1,2,5,3.7,6,46,35,25,0.31,0
14,0,0,20,0.1,17,44,55,197,0.46,0
44,0,3,4,4.8,58,38,30,127,0.1,0
42,0,2,1,4.9,28,60,35,139,-0.95,1
54,1,2,2,2.4,100,8,83,107,-0.71,0
33,1,0,0,1.2,85,26,18,35,-0.35,1
45,1,1,15,1.3,36,96,31,96,-0.52,0
30,1,2,19,4.9,31,0,26,135,-0.28,0
25,0,0,18,3.3,58,72,54,150,-0.75,0
38,1,2,14,3.7,56,9,31,75,0.02,0
23,1,2,9,0.2,13,14,61,5,-0.66,0
27,1,2,18,0.4,77,39,76,42,-0.75,0
17,0,2,17,2.6,24,91,57,9,-0.76,0
36,1,2,10,0.2,26,49,11,80,-0.07,0
25,0,0,1,4.1,55,39,51,88,-0.91,1
24,1,2,9,2.1,52,14,23,69,0.61,0
56,1,2,4,3.3,23,95,68,53,-0.64,0
0,1,2,2,1.2,90,37,72,191,-0.61,1
2,1,3,12,0.4,40,50,77,148,0.56,0
4,0,2,18,1.8,70,37,40,76,-0.58,0
32,0,1,9,1.7,76,7,21,153,-0.31,1
22,0,0,20,2.9,38,3,60,184,0.07,0
9,0,3,15,4.3,87,69,63,107,0.92,0
2,1,1,4,4.7,63,29,41,97,-0.2,1
42,1,0,5,1.1,33,37,57,77,-0.36,1
8,1,0,2,1.8,93,77,74,59,0.28,0
12,0,1,8,0.4,66,78,76,72,-0.57,0
36,1,1,20,4.9,11,2,90,51,-0.03,0
42,1,3,9,3.7,55,84,58,68,0.82,0
5,1,2,13,3.1,17,58,38,40,0.64,0
50,1,2,20,3.8,61,76,47,53,0.8,0
42,0,2,2,3.3,11,38,97,60,-0.6,0
10,1,3,12,1.3,4,34,76,16,-0.45,0
51,1,2,1,1.1,36,18,42,196,0.26,1
57,1,3,9,1.3,70,70,21,61,-0.72,0
40,0,1,10,4.8,78,44,57,40,0.46,0
32,1,0,12,3.1,71,81,87,78,-0.11,0
15,1,1,18,2.9,76,62,46,150,0.62,0
55,1,1,7,2.7,35,83,91,195,-0.02,0
39,1,3,1,1.3,8,29,14,11,-0.92,1
59,1,1,16,4.4,40,63,23,121,-0.94,0
26,1,3,10,3.3,12,51,72,180,-0.6,0
5,1,1,18,4.4,95,41,29,29,-0.03,0
57,1,1,8,0.3,39,39,94,130,-0.96,0
46,0,2,12,3.4,20,8,25,188,-0.96,1
4,0,1,8,2.0,5,51,27,22,0.38,0
0,0,1,4,0.7,74,40,38,69,-0.21,1
37,0,1,11,4.4,83,56,91,57,-0.64,0
50,1,2,17,4.0,42,55,10,88,-0.08,0
33,1,3,7,3.4,39,76,95,24,0.94,0
35,0,3,1,3.0,90,49,97,138,-0.86,0
31,0,3,18,4.9,96,13,7,98,-0.17,0
37,0,3,5,1.8,3,65,69,114,-0.82,0
38,1,3,0,0.8,9,77,78,66,-0.25,0
29,0,1,20,2.8,59,75,14,87,0.96,0
56,0,1,14,2.5,91,87,43,136,-0.25,0
28,0,0,19,4.9,5,32,20,35,-0.91,0
20,1,1,19,4.2,21,69,82,47,0.59,0
36,1,0,3,0.3,95,44,32,100,0.34,0
13,1,0,6,4.4,78,95,76,185,0.75,0
25,1,0,6,2.4,23,80,54,43,0.33,0
43,1,2,3,0.2,37,55,60,54,-0.83,0
31,0,3,5,2.9,78,75,87,111,0.4,0
21,1,0,7,2.9,73,73,3,99,0.57,0
43,0,3,6,3.7,37,80,56,42,-0.89,0
58,1,1,14,4.8,62,3,46,133,0.86,0
31,0,0,6,2.1,97,61,20,135,-0.37,1
26,0,3,14,3.3,86,98,19,35,-0.97,0
25,0,3,14,3.4,70,73,89,141,-0.98,0
33,0,0,9,0.2,2,92,74,156,0.88,0
58,0,0,16,3.0,75,40,2,131,-0.03,0
55,1,3,8,1.2,27,96,89,132,-0.82,0
25,1,0,7,2.9,34,41,56,192,0.95,0
60,1,3,6,2.4,88,10,97,103,0.92,0
2,1,3,17,1.3,52,7,18,83,-0.38,0
47,0,2,4,1.6,88,13,92,52,-0.3,0
1,0,1,19,3.3,34,58,24,194,0.67,0
32,1,3,7,4.3,3,25,50,146,-0.45,0
46,1,3,10,1.1,5,100,41,29,-0.77,0
26,0,2,5,0.1,35,10,56,172,0.59,1
54,0,1,17,0.3,26,30,22,39,0.09,0
29,0,0,8,1.7,54,36,7,66,0.73,0
35,1,3,8,3.5,26,0,31,164,-0.74,1
35,0,3,4,2.9,20,4,32,84,-0.07,1
53,1,2,10,4.3,94,67,41,61,-0.9,0
50,0,1,10,1.5,54,33,38,101,0.28,0
47,1,0,17,3.7,85,6,84,154,-0.28,0
43,1,0,1,1.6,43,20,72,142,-0.11,1
41,1,0,5,4.9,33,82,20,46,-0.5,0
27,1,3,15,3.9,97,31,66,119,0.99,0
32,0,3,0,3.8,99,84,11,38,0.53,0
52,1,2,20,0.2,6,50,73,194,-0.54,0
22,0,3,3,2.7,85,82,35,181,-0.04,0
50,1,3,14,3.3,15,56,79,84,-0.41,0
18,0,1,11,2.6,56,76,41,78,-0.67,0
56,0,0,3,3.5,38,2,61,67,-0.84,1
16,1,1,16,2.2,80,20,72,185,-0.5,0
14,0,3,5,2.3,12,33,27,29,-0.89,1
10,1,0,14,1.3,63,54,82,17,0.71,0
28,0,1,8,4.8,77,7,34,192,-0.35,1
22,0,1,17,0.3,39,92,94,164,0.22,0
52,1,2,15,1.0,34,96,69,3,-0.86,0
31,0,0,8,0.8,43,85,96,150,0.29,0
5,0,0,1,4.2,72,57,57,94,0.77,0
14,1,0,0,2.5,66,8,43,185,-0.14,1
17,0,2,8,3.6,15,23,70,99,-0.54,0
33,1,3,7,0.3,71,23,51,132,-0.13,0
20,1,3,4,1.1,78,57,66,125,-0.7,0
49,1,0,14,1.3,79,54,70,146,0.73,0
18,0,3,13,3.0,0,36,34,69,0.98,0
34,1,0,12,1.8,84,84,93,80,-0.89,0
21,1,0,4,0.8,30,52,86,114,-0.05,1
54,1,3,9,2.2,58,42,92,164,-0.79,0
7,0,2,11,1.5,97,69,92,158,0.69,0
56,1,2,7,0.3,77,73,25,26,0.22,0
9,1,0,11,3.5,22,2,15,9,0.93,0
10,0,3,7,4.3,95,81,23,97,0.89,0
35,1,2,4,0.1,50,7,69,8,0.91,0
58,1,1,1,4.3,36,32,51,77,0.27,0
38,1,0,14,4.5,21,63,80,54,-0.21,0
32,0,0,12,2.4,78,28,15,132,0.12,0
36,1,1,20,1.0,7,69,71,111,-0.6,0
3,1,2,5,4.8,47,12,37,91,0.4,0
17,0,0,15,3.0,1,16,24,171,-0.85,1
37,0,3,10,1.5,96,5,74,182,-0.41,0
37,0,1,3,1.3,32,28,52,141,-0.13,1
42,1,0,14,2.8,20,62,40,92,0.01,0
35,1,0,19,1.2,6,94,94,153,0.31,0
34,1,3,17,1.1,71,90,52,64,-0.81,0
0,1,2,15,3.3,35,12,80,100,-0.21,0
40,1,2,1,2.3,38,88,80,124,-0.83,0
35,1,1,1,4.4,74,96,11,101,-0.25,0
44,1,1,20,3.6,76,20,11,153,-0.91,0
18,0,0,7,3.9,21,19,81,147,0.27,1
42,0,3,3,4.3,11,1,84,29,0.04,0
5,0,2,11,3.0,47,40,40,50,-0.96,0
18,1,1,10,3.7,81,54,18,3,-0.61,0
58,1,0,4,1.4,40,96,48,9,0.79,0
21,0,1,12,2.5,76,79,25,43,0.34,0
15,1,2,15,4.5,34,83,23,142,-0.08,0
49,1,2,8,0.1,54,75,8,198,-0.02,1
2,0,0,10,2.1,29,81,21,43,-0.03,0
15,1,1,15,4.5,46,71,38,113,0.07,0
6,0,3,9,1.5,0,68,73,52,0.42,0
55,0,2,4,0.2,30,41,64,34,-0.85,0
15,1,3,9,0.5,65,92,51,89,-0.23,0
53,0,0,0,3.2,40,5,49,101,0.92,1
23,0,3,8,3.9,26,1,61,132,-0.46,1
12,0,1,19,1.4,82,5,74,40,0.17,0
0,1,2,11,3.0,31,10,14,78,-0.88,1
50,1,0,20,2.0,72,12,45,19,-0.28,0
57,0,3,7,4.1,9,6,42,117,-0.13,0
4,1,0,6,1.5,0,80,33,11,-0.07,0
8,0,0,15,4.2,95,62,52,62,0.1,0
57,1,3,11,2.0,0,57,76,134,-0.13,0
10,0,1,4,0.9,47,28,21,70,-0.38,1
16,1,0,4,0.5,33,5,2,21,0.97,1
35,1,1,18,3.2,86,75,12,81,-0.22,0
36,0,0,20,2.4,57,76,74,10,-0.09,0
27,1,0,19,4.9,42,91,61,105,-0.97,0
27,1,1,15,1.8,76,16,34,54,-0.08,0
0,1,3,12,2.6,7,37,1,46,0.5,0
44,1,3,6,1.9,41,27,89,196,-0.46,0
6,1,2,0,1.7,81,47,28,58,-0.5,1
7,1,0,2,1.2,77,23,98,129,-0.2,1
12,0,2,8,3.7,38,62,11,24,-0.36,0
56,0,2,17,4.5,46,91,99,168,0.42,0
49,0,2,10,0.5,82,62,68,172,-0.14,0
14,1,0,13,0.0,8,13,21,65,-0.51,1
3,1,0,16,2.0,94,42,16,71,-0.2,0
51,1,2,12,0.8,14,67,31,93,-0.3,0
58,1,0,10,4.7,9,75,97,164,-0.74,0
8,1,3,18,3.6,87,41,66,16,-0.69,0
21,1,2,20,2.2,16,79,58,0,0.2,0
45,0,1,2,4.8,20,24,50,116,0.52,0
27,0,2,18,3.3,68,47,55,107,0.56,0
28,1,2,11,2.0,89,68,17,180,-0.43,0
32,1,3,11,4.5,59,56,98,39,0.07,0
8,1,2,13,0.3,56,16,57,30,-0.64,0
54,0,3,3,3.5,51,4,94,26,-0.32,0
33,0,0,19,0.2,68,58,93,82,0.63,0
19,0,2,1,4.7,89,33,0,29,-0.52,0
2,1,0,0,3.5,32,4,12,189,0.78,1
25,0,3,20,4.4,95,33,38,84,0.89,0
42,0,2,13,1.4,49,6,31,18,0.17,0
38,1,1,4,1.0,57,50,87,49,0.46,0
42,0,1,5,3.5,17,70,83,36,0.33,0
